n,situación,umbral,reps_empleadas,tiempo_medio_s,std_s,muestras_validas
1024,aleatorio,16,20,0.000629,3.31e-05,20
1024,ascendente,16,20,0.000323,2.77e-05,20
1024,descendente,16,20,0.00032,1.54e-05,20
2048,aleatorio,16,20,0.00234,0.000359,20
2048,ascendente,16,20,0.000756,2.76e-05,20
2048,descendente,16,20,0.00108,4.68e-05,20
4096,aleatorio,16,20,0.00367,0.000669,20
4096,ascendente,16,20,0.00165,9.23e-05,20
4096,descendente,16,20,0.00259,0.000195,20
8192,aleatorio,16,20,0.00645,4.93e-05,20
8192,ascendente,16,20,0.00356,0.000173,20
8192,descendente,16,20,0.00535,0.000116,20
16384,aleatorio,16,20,0.0144,0.000118,20
16384,ascendente,16,20,0.00767,0.000318,20
16384,descendente,16,20,0.0114,0.000297,20
32768,aleatorio,16,10,0.0353,0.0054,10
32768,ascendente,16,10,0.023,0.000375,10
32768,descendente,16,10,0.0249,0.000523,10
